scenario_id,duration_type,weather_type,rain_prob,dust_level,hour,trip_goal,current_place_type,companion_type,adult_count,child_count,transport,activity_level,avg_stay_minutes,indoor_ratio,event_active,event_schedule_known,tags,hunger,fatigue,need_indoor,keep_mood,move_tolerance,kids_tolerance,photo_motivation,course_depth,next_scene,meal_style_primary,meal_style_secondary,confidence_grade
SCN_0001,2h,sunny,15,good,10,indoor,indoor_culture,solo,1,0,public,low,50,0.85,0,0,indoor_comfort|quiet,0.2,0.15,0.0,0.3,0.3,1.0,0.2,2,meal,light_quick_meal,warm_comfort_meal,A
SCN_0002,2h,cloudy,60,good,16,family,cafe_area,couple,2,0,car,low,50,0.8,0,0,family_friendly|indoor_comfort|scenic,0.2,0.15,0.45,0.5,0.5,1.0,0.3,2,sunset_finish,,,A
SCN_0003,half_day,sunny,10,normal,9,healing,nature,friends,3,0,car,medium,55,0.1,0,0,healing|quiet|scenic,0.3,0.35,0.0,1.0,0.7,1.0,0.3,3,short_walk,,,A
SCN_0004,half_day,cloudy,50,normal,14,indoor,festival,family_large,2,3,car,medium,95,0.4,1,1,family_friendly|festival_event|indoor_comfort|interactive|kids_friendly,0.4,0.65,0.0,0.3,0.35,0.5,0.2,3,go_home,,,A
SCN_0005,full_day,cloudy,30,bad,16,indoor,history,friends,3,0,car,medium,50,0.25,0,0,indoor_comfort|quiet,0.3,0.4,0.3,0.3,0.75,1.0,0.2,4,indoor_visit,,,A
SCN_0006,half_day,cloudy,30,good,14,healing,cafe_area,family_medium,2,2,car,low,50,0.6,0,0,indoor_comfort|scenic,0.2,0.35,0.0,0.8,0.5,0.7,0.3,3,short_walk,,,A
SCN_0007,half_day,rainy,70,normal,9,indoor,history,family_large,2,3,car,medium,50,0.35,0,0,indoor_comfort|quiet,0.3,0.55,0.45,0.3,0.5,0.6,0.2,3,indoor_backup,,,A
SCN_0008,half_day,cloudy,40,normal,12,indoor,nature,solo,1,0,car,medium,80,0.0,0,0,healing|indoor_comfort|quiet|scenic,0.85,0.45,0.0,0.7,0.7,1.0,0.3,3,meal,hearty_refuel_meal,warm_comfort_meal,A
SCN_0009,2h,cloudy,60,good,16,experience,indoor_culture,friends,3,0,car,low,75,0.85,0,0,indoor_comfort|interactive|quiet,0.3,0.25,0.45,0.3,0.5,1.0,0.2,2,meal,light_quick_meal,warm_comfort_meal,A
SCN_0010,half_day,sunny,0,good,14,indoor,nature,family_large,2,3,car,medium,60,0.1,0,0,healing|indoor_comfort|quiet|scenic,0.4,0.65,0.1,0.7,0.35,0.5,0.3,3,go_home,,,A
SCN_0011,full_day,sunny,20,bad,14,healing,cafe_area,solo,1,0,public,low,50,0.7,0,0,indoor_comfort|scenic,0.2,0.2,0.3,0.8,0.55,1.0,0.3,4,indoor_visit,,,A
SCN_0012,half_day,sunny,15,normal,15,family,history,solo,1,0,car,high,70,0.35,0,0,family_friendly|quiet,0.5,0.6,0.0,0.3,0.55,1.0,0.2,3,meal,warm_comfort_meal,family_relaxed_meal,A
SCN_0013,full_day,rainy,80,bad,8,indoor,indoor_culture,family_medium,2,2,car,low,80,1.0,0,0,indoor_comfort|quiet,0.3,0.5,0.75,0.3,0.55,0.6,0.2,4,indoor_backup,,,A
SCN_0014,2h,cloudy,40,good,15,healing,history,friends,3,0,car,medium,60,0.25,0,0,quiet,0.4,0.45,0.0,0.6,0.5,1.0,0.2,2,cafe_rest,,,A
SCN_0015,2h,rainy,95,good,10,healing,festival,family_large,2,3,car,medium,95,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly,0.4,0.65,0.45,0.6,0.15,0.5,0.2,2,go_home,,,A
SCN_0016,2h,cloudy,50,good,17,experience,festival,family_large,2,3,car,medium,95,0.3,1,1,family_friendly|festival_event|interactive|kids_friendly,0.8,0.65,0.0,0.3,0.15,0.5,0.2,2,meal,family_relaxed_meal,hearty_refuel_meal,A
SCN_0017,half_day,cloudy,60,good,9,photo,history,couple,2,0,car,medium,45,0.25,0,0,photo_friendly|quiet|scenic,0.3,0.35,0.45,0.75,0.7,1.0,0.8,3,sunset_finish,,,A
SCN_0018,half_day,cloudy,30,normal,16,indoor,indoor_culture,family_small,2,1,car,low,50,0.95,0,0,indoor_comfort|quiet,0.2,0.25,0.0,0.3,0.6,0.7,0.2,3,sunset_finish,,,A
SCN_0019,half_day,cloudy,40,bad,13,photo,history,family_medium,2,2,car,medium,70,0.15,0,0,photo_friendly|quiet|scenic,0.85,0.65,0.4,0.75,0.35,0.5,0.8,3,meal,family_relaxed_meal,photo_brunch_meal,A
SCN_0020,full_day,cloudy,50,bad,13,healing,photo_spot,family_large,2,3,car,medium,55,0.05,0,0,photo_friendly|scenic,0.75,0.6,0.4,0.8,0.4,0.6,0.4,4,meal,family_relaxed_meal,quiet_rest_meal,A
SCN_0021,full_day,cloudy,20,normal,10,experience,indoor_culture,family_small,2,1,public,low,55,0.95,0,0,indoor_comfort|interactive|quiet,0.2,0.3,0.0,0.3,0.45,0.7,0.2,4,short_walk,,,A
