스팟아이디,스팟명,오디오명,대본내용,재생시간(초)
1355,신라왕경,계획도시 서라벌,"신라의 수도 경주, 신라는 천 년에 가까운 시간을 지나오면서 수도를 한 번도 옮기지 않았답니다. 신라의 역사를 그대로 가지고 있는 곳이 바로 경주인 거죠. 그렇다면 신라 왕경인 경주는 어떤 곳이었는지 한번 살펴볼까요 경주는 단계적으로 변화했는데 6세기 초반부터 계획도시화 되었답니다. 바둑판처럼 구획을 지어 도로를 정비하였고 권역별로 공간을 구분했어요. 궁궐, 사찰 등이 위치한 주거 공간, 대릉원을 비롯한 무덤이 있는 무덤 공간, 그리고 철이나 토기의 생산 시설이 마련된 생산 공간으로 크게 나누어 배치되었죠. 왕궁인 월성은 강을 끼고 초승달처럼 보이는 지형인데요, 달의 모양을 닮았다고 해서 월성이라고 했어요. 평야에 위치하고 있지만 앞쪽에 강을 끼고 평지보다 좋은 높은 곳에 위치하고 있어 적군을 방어하기 쉬웠답니다.영토가 확장되면서 월성 외에 다른 궁궐이나 별궁을 짓는 일도 생겼는데 이로 인해 왕경의 범위가 점차 확장되었고 사찰이나 무덤도 점차 주변의 산지나 구릉으로 옮겨갔어요. 또한 산성을 정비하고 세워 외세의 침입도 대비 했습니다.신라는 중국, 일본 등 주변 국가를 비롯해서 서역과 문화 교류를 활발히 하였고 이에 따라 경주는 동북아의 중심도시로 국제도시가 되었고 정원에 연못을 꾸미고 금으로 집을 장식하는 등 화려한 귀족문화가 경주 내에 형성되기도 하였답니다. 지금까지도 경주 곳곳엔 천년신라의 향기가 고스란히 남아 있으니 경주를 직접 돌아보며 그 향기를 만끽해 보세요.",134
1354,뼈단지,화장 그리고 뼈단지,"이 유물은 화장하고 나서 뼈를 담았던 항아리인 뼈단지입니다. 신라는 불교를 수용하면서 불교식 장례법인 화장도 자연스럽게 수용했어요. 죽어서 신라를 지키는 용이 되겠다고 한 대왕암의 전설, 들어보셨죠 그 전설의 주인공인 신라의 문무왕은 왕 중에서 최초의 화장을 한 왕이랍니다. 이후 신라의 귀족층에서는 화장이 널리 유행했는데 화장을 한 후 뼈단지에 유골을 담아 땅에 묻었습니다.뼈단지는 뚜껑이 있는 형태로 단지 하나를 사용하기도 했지만 일부는 두 개의 단지를 사용하기도 했어요. 화강암으로 만들어진 바깥 단지와 유약을 바른 작은 단지로 구성되는데요, 외부는 화려한 무늬로 장식되어 있고 가운데 꼭지가 있지요. 내부의 함은 꼭지는 없지만 역시 동일한 무늬가 찍혀있어요. 신라에서는 다양한 형태에 찍은 무늬 방법 등을 이용해서 화려한 무늬를 넣어 만들어진 것이 유행이었답니다. 신라사회의 불교는 단순한 종교 이상으로 사회 전반적인 문화에 영향을 끼쳤는데요, 이렇게 장례풍습을 시신을 무덤에 묻는 매장문화에서 화장으로 변화시킨 것도 바로 불교랍니다. 이러한 뼈단지는 통일신라 이후에 많이 발견되어 통일신라 때 불교식 장례문화가 널리 퍼졌다는 걸 알 수 있어요.",109
1353,목간,문자로 보는 신라,"부챗살보다 넓으면서도 긴 나무들이 전시되어 있는 게 보이세요　이것은 바로 신라시대 사용되었던 목간이에요. 목간은 문자를 기록하기 위해 목재를 세로로 길게 다듬어 만든 것으로, 고대사회에서는 종이가 보편화되기 전에 널리 사용했답니다. 목간은 개인의 간단한 글자 연습에서부터 국가의 복잡한 행정문서에 이르기까지 광범위한 용도로 사용되어 고대사회의 문자와 행정을 이용하는 데 큰 도움이 되는 귀중한 자료랍니다.전시된 목간들은 세금을 납부하던 것을 알려주고 있어요. 어디에 사는 누가 세금으로 곡물인 피나 보리 등을 낸 것을 표시한 거죠. 이런 것들을 통해 그 시대의 사회 모습을 알 수 있답니다. 그 외에도 신라에서 발견된 목간의 내용을 보면 궁궐의 대문 이름이나 그 대문을 지킨 경비병들의 근무기록이 있기도 해요. 또 약재의 종류와 제조법, 처방전이 있는 목간도 있어요. 음식 이름과 그 음식을 만든 날짜가 있는 목간도 있지요. 이런 것들을 통해 그 시대의 사회 모습을 알 수 있답니다. 현재 신라시대의 목간은 다양한 지역에서 출토되고 있는데, 특히 561년 무렵에 작성된 성산산성 목간은 출토된 목간의 숫자도 많고, 비슷한 시기의 금석문 자료까지 풍부하여 신라시대 문자 연구에 큰 도움을 주고 있어요. 이렇듯 우리는 신라 사람들이 직접 써놓은 비석과 목간 등의 문자 자료를 통해 역사서에 기록되어 있지 않은 당시의 흔적을 직접 확인할 수 있답니다. ",122
1352,북한산 신라 진흥왕 순수비,"영토 확장, 북한산 신라 진흥왕순수비","[해설] 이것은 신라 진흥왕 때 북한산 비봉에 세운 북한산 신라 진흥왕순수비입니다.[여학생] 네 산꼭대기요 거기에 왜 비석을 세웠어요[해설] 신라의 24대 왕인 진흥왕이 영토를 개척하고 그곳에 순행한 사실을 기념하기 위해 세운 것으로 565년에 세운 거예요. 하늘과 가까운 북한산 비로봉에 세워 이곳이 신라의 영토임을 하늘에 고한 것이죠. [남학생] 와 신라가 북한산까지 영토로 갖고 있었다고요~[해설] 네 신라는 6세기에 들어 활발한 정복 사업으로 영토를 확장해 나가기 시작했어요. 그렇게 확장하고 이를 확실히 하기 위해 세운 순수비가 북한산 말고도 고구려 영역이던 함흥평야 지역과 남쪽 가야 지역 등에도 있어 신라의 영토 확장이 대규모로 이루어졌음을 알 수 있지요.[여학생] 그런데 순수가 무슨 뜻인가요[해설] 순수란 왕이 나라 안을 두루 돌아다니며 각 지방의 세력관계와 민심 동향을 살펴 영토를 관리하던 정치 관행을 말해요. 진흥왕은 고구려와 백제를 공략하여 영토를 크게 넓혔고 새로 편입된 영토에 사는 사람들을 신라 백성으로 만들기 위해 직접 행차하며 살폈던 거죠. [남학생] 아 그렇군요! 그런데. 글자가 하나도 안보여요. 뭐라고 쓰여 있는 거예요[해설] 순수비는 화강암에 글자를 새긴 건데요, 오랜 시간이 지나 글자 마멸이 심해서 판독에 많은 어려움이 있었어요. 그러다 조선후기에 추사 김정희가 이 비를 조사한 후, 이것이 진흥왕순수비라는 것을 밝혀내고 이 사실을 왼쪽 면에 기록해 두었답니다. 비에는 진흥왕이 한강유역을 개척하고 북한산 주위를 순행한 사실을 돌에 새겨 기념한다는 내용, 왕을 따라왔던 신료들의 명단 등이 있어요.",135
1351,토우달린 항아리,신라인들의 삶과 죽음의 드라마,"[해설] 이 항아리는 보통의 토기들과 다르게 무언가가 덧붙여 장식되어 있죠 사람이나 동물을 본 떠 만든 ‘토우’ 들을 어깨에 붙이고 있는 것이랍니다. 한번 자세히 살펴보세요. 어떤 토우가 있죠[남학생] 저기! 뱀이 있어요! 어 근데 뱀이 개구리를 잡아먹어요![해설] 네, 뱀이 개구리 뒷다리를 물고 있죠 그리고 또 다른 토우로는 창을 들고 있는 사람이 보이네요. [남학생] 저런 걸 왜 항아리에다 붙여놨어요[해설] 뱀이 개구리를 잡고, 사람이 창을 들고 있는 것을 보아 사냥이 잘 되길 바란 거 아닐까요 신라 사람들은 주술적인 의미로 자신이 바라는 것을 토우로 만들어 항아리에 붙여 꾸몄어요. [남학생] 그럼 다른 모양의 토우들도 있나요[해설] 네, 신라 사람들은 노래하고 춤추는 사람, 죽음을 슬퍼하는 사람, 남자와 여자가 사랑을 나누는 모습 그리고 호랑이나 독수리, 거북이와 같은 다양한 동물들의 모습을 토우로 만들어 항아리에 붙였어요. 바로 풍요와 다산을 기원하는 것으로 이런 토우 붙은 항아리를 무덤에 묻어서 죽은 사람이 저승에서도 잘 지내길 기원했답니다.[남학생] 와~ 정말 단순해 보이는 흙 인형 속에도 이렇게 많은 의미가 숨어 있네요! [해설] 네 그렇죠. 이런 항아리는 신라인의 문화를 엿볼 수 있는 중요한 유물이랍니다.",102
1350,말 탄 사람 토기,말 탄 사람 토기,"이곳은 신라의 문화를 알 수 있는 토기들이 모여 있는 곳입니다. 일상생활에서 익숙한 인물이나 동물, 특정한 물건을 본떠서 만든 토기를 뭐라고 했었죠 네, 상형토기예요. 가야실에서 봤던 상형토기들과 마찬가지로 신라의 상형토기들도 주로 무덤에 묻으면서 죽음을 위로하고 죽은 후의 세상에서의 평안을 기원하는 역할을 했었죠. 그중에서도 말 탄 사람 토기를 한 번 볼까요　토기의 속은 비어 있고 가슴 쪽으로 주전자의 부리 같은 것이 붙어 있어 제사 의례용에 주전자로 사용되었던 토기인데요, 비슷해 보이는 토기가 두 개가 있지요이 말 탄 토기는 언뜻 두 개가 비슷한 모습이지만 자세히 살펴보면 다른 차이를 보이고 있어요. 왼쪽의 토기가 오른쪽의 토기보다 말을 꾸미고 있는 말갖춤도 더 화려하고, 말갈기를 세워 말 상투를 만들었어요. 말 상투는 조선시대에도 있었는데요. 신라시대에도 보이는 것을 보아 오래전부터 내려온 풍습인 걸 알 수 있죠. 또 왼쪽 토기 사람은 고깔모자를 쓰고 갑옷을 입었지만 오른쪽 토기 사람은 상투를 틀고 방울을 들며 길 안내를 하는 듯해요. 이런 세부적인 묘사를 통해 두 사람의 신분 차이를 알 수 있는데요. 왼쪽은 귀족이라면 오른쪽은 그를 따르는 시종으로 보입니다.이처럼 상형토기는 일상생활의 한 장면을 표현하기 때문에 그 당시의 생활상을 알 수 있는 중요한 자료가 된답니다.",120
1349,"관모, 관꾸미개","황금의 나라, 신라","금관과 허리띠 말고도 전시실을 뒤덮은 황금 유물들을 살펴보면 신라의 찬란했던 황금문화와 그 문화를 뒷받침했던 놀라운 제작기술들을 확인할 수 있는데요, 이제 금관 뒤편에 있는 황금관모와 꾸미개를 살펴볼까요 오른쪽의 고깔모양의 모자를 보세요. 이건 관모인데 원래 상투를 가리기 위해 사용했죠. 신분을 과시하기 위해서 점점 이런 화려한 장식을 덧씌웠답니다. 이 관모는 금실로 뜨개질을 한 것처럼 섬세한 외관을 자랑하는데요, 금판을 얇게 떠서 작은 무늬를 이렇게 촘촘하게 새겨 넣으려면 그 일은 여간 어려운 일이 아니었겠죠그 옆에 있는 새 모양의 장식은 황금관모를 장식하기 위한 관 꾸미개랍니다. 관모의 앞부분을 유심히 보시면 이 꾸미개를 꽂을 수 있는 홈이 있는데요, 바로 이곳에 꽂은 것이랍니다. 이 가운데 금판 좌우에 새 날개 모양의 금판을 작은 못으로 정교하게 연결하였답니다. 관모에 꽂혀 있는 이 꾸미개의 모습을 떠올려 보세요. 마치 새가 하늘을 향해 날아가는 듯하겠죠 그리고 왕이 한 걸음 한 걸음 움직일 때마다 번쩍이는 관모와 햇빛을 받아 흔들리는 달개. 반짝반짝한 황금빛 때문에 눈이 부실 정도였을 겁니다. 이렇듯 신라의 왕족과 귀족들은 의식에서뿐만 아니라 일상에서도 널리 금제품을 사용했습니다. 지금의 경주 지역에 전해진 전래 중에 ‘당시 신라엔 금이 너무 흔해서 개도 금목걸이를 걸고 있을 정도였다’라는 우스갯소리도 있을 정도니 신라의 황금 문화가 얼마나 번창했는지 충분히 짐작이 가실 거예요.",129
1348,신라의 허리띠,허리춤에서 빛나는 왕의 권위-신라의 허리띠,"금관 아래에 금관만큼이나 화려한 맵시를 뽐내고 있는 이 전시품은 금관과 함께 발견된 허리띠랍니다. 이 허리띠는 옷이 흘러내리지 말라고 썼던 게 아니라 자신이 얼마나 높은 사람인지를 드러내기 위해서 착용했기 때문에 이렇게 고급스럽게 만든 것이지요. 이 황금 허리띠는 원래 가죽이나 비단으로 된 허리띠의 겉면에 장식하는 용도였어요. 오랜 시간이 흘러 가죽이나 비단은 삭아 없어지고 지금처럼 황금 허리띠만 남게 된 거죠. 허리를 감싸는 부분까지도 얇은 금판을 두 줄로 오려 붙여 만든 걸 보면 얼마나 세심하게 신경을 썼는지 알 수 있죠. 띠 아래로 매달아 놓은 장식은 드리개라고 해요. 그런데 특이하게 짧은 금줄들 끝에 여러 물건들을 본 따 만든 장식들이 달려 있어요. 왜 왕의 허리띠에 이런 장식들이 달려 있는 걸까요 자세히 보면 숫돌, 집게, 물고기, 곡옥 등 일상생활에서 사용되거나 필요한 것들이에요. 이런 풍습은 일상의 도구들을 매달고 생활했던 북방 유목민족의 영향을 받았기 때문이라고 합니다. 각각의 물건들은 나름의 상징성을 가지고 그 의미를 추측하는데, 숫돌과 족집게는 철을 다루는 도구로 당시 철을 다루는 사람이 힘을 가졌다는 상징적인 의미를 담고 있어요. 그래서 숫돌과 족집게는 권력을, 곡옥은 영원한 생명과 다산을, 물고기는 풍요를 가져다주는 의미로 보고 있답니다. 그럼, 나머지 도구들은 무엇이며 어떤 의미를 지니고 있을까요하나하나 살펴보며 그 의미들을 떠올려 보세요. 그럼 이 허리띠를 보는 재미가 더해질 겁니다.",134
1346,신라관,천년의 나라 신라,"이곳은 신라실입니다. 경주지방을 중심으로 진한의 12개의 소국을 통합하여 국가를 이루었는데요, 처음의 나라 이름은 ‘해가 뜨는 동쪽의 도시’라는 뜻의 ‘서라벌’이었답니다. 후에는 ‘덕업이 나날이 새로워진다’에서 온 ’신新‘과 ’사방을 망라한다‘는 ’나羅‘에서 뜻을 따 ‘신라’로 국호를 확정했어요. 신라의 전성기는 6세기로, 고구려, 백제보다는 늦게 나라의 기틀을 만들었지만, 이 시기 율령을 만들어 지배체계를 갖추고 불교를 받아들이면서 정치와 사상의 기반을 확고히 했어요.특히 진흥왕은 화랑이라는 조직을 만들어 국가적으로 우수한 인재를 양성했는데요, 이들을 기반으로 영토 확장에도 힘을 기울여 북으로는 한강 상류지역을 차지하고 남으로는 대가야를 정복하는 등 신라의 영토를 넓혔답니다.그리고 676년에는 고구려와 백제를 통일하게 되었죠. 비록 당나라와의 연합군이 함께한 전쟁들이었지만 통일을 하면서 신라는 당나라 군대를 한반도에서 몰아내면서 한민족 역사의 통일을 이루었답니다. 932년에 고려에 멸망하기까지 천 년의 역사 속에서 찬란한 문화를 꽃피웠던 신라. 그럼 신라를 만나러 갈까요",102
1347,신라의 금관,"신라의 금관, 그 화려함 속에 담긴 의미","이제 신라관 안에서 가장 화려한 전시품을 만나보시죠. 신라를 대표하는 두 가지 문화가 불교문화와 황금문화라는 얘기는 들어보셨을 텐데요, 바로 신라의 찬란했던 황금 문화를 보여주는 대표 유물, 금관입니다. 화려한 금관은 빛나는 황금빛으로 이 방을 압도하고 있어요. 신라에서는 금관이 많이 출토됐는데, 그 화려함과 세밀한 기술은 전 세계적으로 유례를 찾기 힘든 걸작이죠.그럼, 이 금관에 달려있는 장식이 어떤 의미를 담고 있는지 하나하나 살펴볼까요 우선 테두리 위에 솟아있는 가지들은 하늘과 땅을 이어주는 신령스런 나무와 신성한 동물인 사슴의 뿔을 표현한 거예요. 신라 왕가의 신성함을 드러내기 위해서 말이죠. 가지에 달려있는 동그란 황금장식은 무성한 나뭇잎을, 구부러진 옥장식은 열매를 나타낸 것인데요, 신라가 많은 후손을 낳아 더 융성해지길 바라는 뜻을 담고 있습니다. 그런데 이렇게 크고 화려한 금관을 실제로 썼을까요우선 금관의 크기를 살펴보세요. 머리에 쓰기엔 조금 크죠. 금관의 장식 또한 너무 크고 화려해 지탱하기 힘들어 보여요.그리고 금관 중 일부는 가지모양 장식이 고깔처럼 뭉쳐져 어깨까지 내려와 얼굴을 가린 채 발견됐는데요, 이런 이유들로 금관이 실사용된 것이 아니라 장례용품의 하나로 추측하기도 한답니다. 이처럼 금관의 사용에 관해선 아직 의문점이 많지만, 신라 금관이 가진 화려함과 미적 완성도는 세계적으로 유례를 찾아볼 수 없을 만큼 뛰어난 예술품입니다. ",131
